"","r_1","r_2","r_3","r_4","p_1","p_2","p_3","p_4"
"lh_transversetemporal_thickness","-0.289410184582183","-0.0378156692540795","-0.0621928063320342","-0.00743581601301069","0.000549196260628104","0.658509271024452","0.467026565919983","0.930769661893571"
"lh_insula_thickness","-0.0304938836274557","-0.103633874645429","-0.0722627301114493","-0.116290613637978","0.721575508285792","0.224723303791424","0.397900093765708","0.172789416156311"
"rh_bankssts_thickness","-0.187078801002473","-0.0248703447734735","0.0620651468843561","0.118317945838295","0.0274389039610097","0.77134641285012","0.46794317914358","0.165371889935568"
"rh_caudalanteriorcingulate_thickness","0.0847104113252129","-0.0445094672024774","-0.0483263596013457","-0.0288475605106038","0.321448423159293","0.602869727448014","0.572111472394789","0.736036507408403"
"rh_caudalmiddlefrontal_thickness","-0.135890251662585","-0.0179813099570957","0.0669440874006839","-0.154043102976581","0.110698134192583","0.833590309487113","0.433620729456145","0.0702083903414401"
"rh_cuneus_thickness","0.0229543666344865","0.0210381221614154","0.0479749373656243","0.0620032707528787","0.78853036442059","0.80581910561144","0.57491233534544","0.468387813071626"
"rh_entorhinal_thickness","-0.00873302331131819","0.0379494439474877","-0.111676182438498","-0.127679127153365","0.918730475667682","0.657377438615211","0.190584686824005","0.134169934710715"
"rh_fusiform_thickness","-0.113355129143702","-0.0339624282276565","-0.0506863301706607","-0.110328608883835","0.183961594294551","0.691433933683258","0.553470444067453","0.196024892797002"
"rh_inferiorparietal_thickness","-0.193508538537287","-0.0346916576625609","0.0732145501039806","0.0974796065914626","0.0224628891349226","0.685156133262184","0.391697863662984","0.253615921525657"
"rh_inferiortemporal_thickness","-0.0298731279280915","-0.0115850340899005","-0.0727093993524462","-0.0156518278132333","0.72701688024995","0.892329876486935","0.394982259781162","0.854894406793228"
"rh_isthmuscingulate_thickness","0.0453024225898336","0.0822247847568898","-0.113159400224811","-0.0374412508000954","0.596419410553396","0.335902684485722","0.184724906768604","0.661681236371901"
"rh_lateraloccipital_thickness","-0.0369275523560484","-0.0195881393721354","-0.0197574012445222","0.0285607406215777","0.666042922729262","0.818964309844448","0.817427148904874","0.738565535285133"
"rh_lateralorbitofrontal_thickness","-0.0800433816546908","-0.0297018261212082","-0.012117680890046","-0.00651564322019996","0.348923321629899","0.728520878286716","0.887411420546932","0.939319318202039"
"rh_lingual_thickness","-0.109709301395084","0.0449706589274706","0.0241003323624122","-0.172779481607565","0.198562459892253","0.599114369350354","0.778239658627306","0.0419547667582294"
"rh_medialorbitofrontal_thickness","-0.0752968304064316","-0.0834676995593634","0.0646469951313895","-0.0228480913539067","0.378333218385676","0.328624005150636","0.449597892691216","0.789486592252899"
"rh_middletemporal_thickness","-0.0949611547045678","-0.0629553742021965","0.0223105737462355","-0.0212384180442498","0.266146564542878","0.461571783073703","0.794327764950899","0.804007439403827"
"rh_parahippocampal_thickness","0.00770811207778733","-0.0380611446845824","-0.141789229699591","-0.033599619931981","0.928241131239898","0.656432962956548","0.0959131945791551","0.694565147918012"
"rh_paracentral_thickness","-0.108283212190101","-0.0771227559998551","-0.0259958188005291","-0.114124105481444","0.204495894284249","0.366845496528487","0.761303209132656","0.180985068098102"
"rh_parsopercularis_thickness","-0.176079690362869","0.0359321831433494","-0.0366736392600467","-0.109182730729477","0.0381321491106512","0.674526116864469","0.66820297988594","0.200738659196913"
"rh_parsorbitalis_thickness","-0.115491102398515","0.0746966607991929","-0.135083101955999","-0.0555833157038766","0.175781314031448","0.382156482596163","0.112852608688206","0.515755105172748"
"rh_parstriangularis_thickness","-0.133816473283134","-0.0889598095634837","0.00407028975168382","-0.0445341461226563","0.116299259261921","0.297682531326338","0.962071007686616","0.602668508610636"
"rh_pericalcarine_thickness","-0.246289041888192","0.0747694159807297","-0.0134251346150773","0.0500663389062772","0.00347074804867087","0.381691765688058","0.875356948936336","0.558339039276479"
"rh_postcentral_thickness","-0.194822467392539","-0.144035088586065","-0.0334762217904375","0.0119123421437158","0.0215476205632625","0.0907133515026866","0.695631313674698","0.889307019381973"
"rh_posteriorcingulate_thickness","0.0676338143325451","-0.0430707015942401","-0.168155275551499","-0.0643958359208517","0.428887569550569","0.614651938041513","0.0478461629378015","0.451364597275226"
"rh_precentral_thickness","-0.152869438281267","-0.0157414494278699","0.0255966853609119","-0.0143215669321498","0.0723985227238106","0.854072737667599","0.764860436493054","0.867108340993335"
"rh_precuneus_thickness","0.0420364402541486","-0.0133566029891125","0.0252969842490253","-0.0577305197313704","0.623183026813271","0.875988112310535","0.76753471880529","0.499644108843088"
"rh_rostralanteriorcingulate_thickness","0.0108049763960425","-0.0581422005910716","-0.097975264327065","-0.167542937014345","0.899540268838575","0.4965856417087","0.251198412140366","0.0486755308960525"
"rh_rostralmiddlefrontal_thickness","-0.179211907314828","0.0104600189778779","0.0291605843702416","-0.0141103151705726","0.0347793282424798","0.902731504024822","0.73327965219586","0.869050939932577"
"rh_superiorfrontal_thickness","-0.0771666837355358","-0.0918335044065585","-0.0722780125238981","-0.0935509408756439","0.366571803588975","0.282286166865244","0.397800050764316","0.273344213305238"
"rh_superiorparietal_thickness","-0.18582310513794","0.0109275794229082","0.0880339849774764","0.0803339054189031","0.0285133156379533","0.898406440225977","0.302758834650908","0.347171137485567"
"rh_superiortemporal_thickness","-0.0974253124461124","-0.160599388717149","-0.000128644523685642","0.018804543438748","0.253881704748542","0.0589429194729385","0.998800779661296","0.826089460985442"
"rh_supramarginal_thickness","-0.221880671507599","-0.0963273523553237","0.0331897898031616","0.041822883378963","0.00866190022027902","0.259297661731649","0.698108391404333","0.624950844901787"
"rh_frontalpole_thickness","0.0624293911685633","-0.00962641515882396","0.00265392603431814","-0.146461148957114","0.465330459637927","0.910449576188525","0.975264093069169","0.0853508997861752"
"rh_temporalpole_thickness","0.0347275473008271","-0.0591875234881128","-0.136951109095542","-0.117727557573145","0.684847716238695","0.488864282364508","0.107915468310231","0.167507086753856"
"rh_transversetemporal_thickness","-0.0549230901741359","-0.0666782572159176","-0.0897369021160108","-0.00714959886853311","0.520761980330355","0.435452897770544","0.293465399954607","0.933428207887001"
"rh_insula_thickness","0.0237156586873819","-0.184028045532412","-0.0303172673405963","-0.0647527538500608","0.781689816983172","0.0301113269960036","0.723122273569728","0.44885512636205"
