"","X1","X2","X3","X4","X1","X2","X3","X4"
"1","rho","rho","rho","rho","p","p","p","p"
"lh_lingual_thickness","-0.163833899664141","0.120589579780521","0.145793158514677","-0.108675960945627","0.0539580381499527","0.157345042057696","0.0868014592340631","0.202849230970717"
"lh_medialorbitofrontal_thickness","-0.0913512081138246","-0.0780314186652006","-0.222919138772325","-0.17436153925746","0.284832160317012","0.361209714450562","0.00834649715985458","0.0400840330691965"
"lh_middletemporal_thickness","-0.241067087699821","-0.201884919038855","-0.0123699006546783","-0.15528488166214","0.00425301452281102","0.0171587324077052","0.885083908846537","0.067950006954157"
"lh_parahippocampal_thickness","-0.0072217207204654","-0.163034737032361","-0.260747580457648","-0.106508643015069","0.932758229139857","0.0551560924739716","0.00193376282261948","0.212055960996009"
"lh_paracentral_thickness","0.0222817910598631","-0.108061032930357","0.0328813477218679","-0.0351366646447837","0.794587220246608","0.205431664637834","0.700779373908093","0.681335655560949"
"lh_parsopercularis_thickness","0.0269769778862911","-0.0589251467297987","-0.11883152912439","-0.347732995941004","0.752580072443721","0.490796314553082","0.163530998871466","2.73655373037585e-05"
"lh_parsorbitalis_thickness","-0.0852922005017742","-0.216935677295416","0.0962004576954714","-0.147769554069113","0.318124139489365","0.0103127866434973","0.259928664650265","0.0825658552082498"
"lh_parstriangularis_thickness","-0.127337175180328","-0.053858096406915","-0.0287427311368243","-0.317868454498007","0.135224189133558","0.528890312061076","0.736960511708983","0.000137203429564803"
"lh_pericalcarine_thickness","-0.235536337145437","0.106103869836002","-0.0318782014866804","-0.0495790614500773","0.00525067981828542","0.213808007342346","0.709491390084471","0.562179868035541"
"lh_postcentral_thickness","-0.298764248723714","-0.284503971261459","0.0936413014534024","0.234194824099069","0.000353559644238111","0.000687819728613981","0.272879109156638","0.00552217391525911"
"lh_posteriorcingulate_thickness","0.00126961497809813","0.00327461563923687","-0.329042848940926","-0.100120244813204","0.988165112598816","0.969481484601372","7.65226749013248e-05","0.240920085178175"
"lh_precentral_thickness","-0.155048592589364","-0.0970438976051478","0.016167866003822","-0.212769343707313","0.0683751256179104","0.255754229141557","0.850165422809012","0.0119125385800509"
"lh_precuneus_thickness","-0.219329189471688","-0.0544622639975697","-0.0233160996404645","-0.0896951957392794","0.00948198663264943","0.524271308553679","0.785277986399306","0.293690720623044"
"lh_rostralanteriorcingulate_thickness","-0.0118092543352387","-0.0902788562453088","-0.295163968202783","-0.275780422709802","0.890258918361986","0.290547898297623","0.000419609863271164","0.00101618992052366"
